Ai,2015,2016,2017,2018,2019
$A_{1}$,13,10,9,9,11
$A_{2}$,25,25,25,25,25
$A_{3}$,14,14,13,14,7
$A_{4}$,4,5,5,5,6
$A_{5}$,9,9,11,10,12
$A_{6}$,3,3,3,3,3
$A_{7}$,5,4,4,4,4
$A_{8}$,20,21,22,21,24
$A_{9}$,8,7,7,7,10
$A_{10}$,10,12,8,8,9
$A_{11}$,24,24,24,24,23
$A_{12}$,23,22,20,19,20
$A_{13}$,21,19,18,22,19
$A_{14}$,15,15,15,13,16
$A_{15}$,12,13,14,12,8
$A_{16}$,19,20,21,11,13
$A_{17}$,11,11,12,15,15
$A_{18}$,7,6,6,6,5
$A_{19}$,22,23,23,23,22
$A_{20}$,16,18,19,20,21
$A_{21}$,26,26,26,26,26
$A_{22}$,17,17,16,18,18
$A_{23}$,18,16,17,17,14
$A_{24}$,2,1,1,1,1
$A_{25}$,1,2,2,2,2
$A_{26}$,6,8,10,16,17
